pft	par.names	par.prior	par.lower	par.upper	par.pftspecif	comment	sensitivity
TeBE	K_EST_TeBE	0.12	0.01	0.3	TRUE	LPJmL default	S
TeBE	TWMAX_TeBE	1000	999	1001	TRUE	LPJmL default	N
TeBE	TSAP_TeBE	20	5	50	TRUE	LPJmL default	S
TeBS	ALPHAA_TeBS	0.61	0.1	0.9	TRUE	LPJmL default	S
TeBS	ALBEDO_LEAF_TeBS	0.1798	0.1	0.3	TRUE	LPJmL default	S
TeBS	ALBEDO_STEM_TeBS	0.04	0.01	0.1	TRUE	LPJmL default	N
TeBS	ALBEDO_LITTER_TeBS	0.14	0.01	0.15	TRUE	LPJmL default	N
TeBS	SNOWCANOPYFRAC_TeBS	0.4	0.1	0.9	TRUE	LPJmL default	N
TeBS	LIGHTEXTCOEFF_TeBS	0.6037	0.2	1.5	TRUE	LPJmL default	S
TeBS	TMIN_SL_TeBS	0.2591	0.21	0.84	TRUE	LPJmL default	N
TeBS	TMIN_BASE_TeBS	13.69	-50	50	TRUE	LPJmL default	S
TeBS	TMIN_TAU_TeBS	0.2	0.01	0.9	TRUE	LPJmL default	N
TeBS	TMAX_SL_TeBS	1.74	0.68	2.76	TRUE	LPJmL default	N
TeBS	TMAX_BASE_TeBS	1000	999	1001	TRUE	LPJmL default	N
TeBS	TMAX_TAU_TeBS	0.2	0.01	0.9	TRUE	LPJmL default	N
TeBS	LIGHT_SL_TeBS	58	0.05	160	TRUE	LPJmL default	N
TeBS	LIGHT_BASE_TeBS	59.78	-100	200	TRUE	LPJmL default	S
TeBS	LIGHT_TAU_TeBS	0.2	0.01	0.9	TRUE	LPJmL default	N
TeBS	WATER_SL_TeBS	5.24	0.73	9.4	TRUE	LPJmL default	N
TeBS	WATER_BASE_TeBS	20.96	-100	100	TRUE	LPJmL default	S
TeBS	WATER_TAU_TeBS	0.8	0.01	0.99	TRUE	LPJmL default	N
TeBS	RAMP_TeBS	300	150	400	TRUE	LPJmL default	N
TeBS	APHEN_MIN_TeBS	10	1	600	TRUE	LPJmL default	N
TeBS	APHEN_MAX_TeBS	201.97	1	600	TRUE	LPJmL default	N
TeBS	MORT_MAX_TeBS	0.03	0.01	0.06	TRUE	LPJmL default	S
TeBS	K_EST_TeBS	0.12	0.01	0.3	TRUE	LPJmL default	S
TeBS	TWMAX_TeBS	1000	999	1001	TRUE	LPJmL default	N
TeBS	TSAP_TeBS	20	5	50	TRUE	LPJmL default	S
BoNE	ALPHAA_BoNE	0.223	0.1	0.9	TRUE	LPJmL default	S
BoNE	ALBEDO_LEAF_BoNE	0.09828	0.001	0.25	TRUE	LPJmL default	S
BoNE	ALBEDO_STEM_BoNE	0.06	0	0.19	TRUE	LPJmL default	N
BoNE	ALBEDO_LITTER_BoNE	0.01065	0.01	0.2	TRUE	LPJmL default	N
BoNE	SNOWCANOPYFRAC_BoNE	0.1	0.01	0.9	TRUE	LPJmL default	N
BoNE	LIGHTEXTCOEFF_BoNE	0.442	0.1	2.5	TRUE	LPJmL default	S
BoNE	TMIN_SL_BoNE	0.1008	0.1	1.93	TRUE	LPJmL default	N
BoNE	TMIN_BASE_BoNE	-7.516	-50	50	TRUE	LPJmL default	S
BoNE	TMIN_TAU_BoNE	0.2	0.01	0.9	TRUE	LPJmL default	N
BoNE	TMAX_SL_BoNE	0.24	0.01	3	TRUE	LPJmL default	N
BoNE	TMAX_BASE_BoNE	1000	999	1001	TRUE	LPJmL default	N
BoNE	TMAX_TAU_BoNE	0.2	0.01	0.9	TRUE	LPJmL default	N
BoNE	LIGHT_SL_BoNE	14	0.05	80	TRUE	LPJmL default	N
BoNE	LIGHT_BASE_BoNE	3.04	-100	200	TRUE	LPJmL default	S
BoNE	LIGHT_TAU_BoNE	0.2	0.01	0.9	TRUE	LPJmL default	N
BoNE	WATER_SL_BoNE	5	0.1	10	TRUE	LPJmL default	N
BoNE	WATER_BASE_BoNE	0.007695	-100	100	TRUE	LPJmL default	S
BoNE	WATER_TAU_BoNE	0.8	0.01	0.99	TRUE	LPJmL default	N
BoNE	MORT_MAX_BoNE	0.03	0.01	0.06	TRUE	LPJmL default	S
BoNE	K_EST_BoNE	0.12	0.01	0.3	TRUE	LPJmL default	S
BoNE	TWMAX_BoNE	23	0	40	TRUE	LPJmL default	S
BoNE	TSAP_BoNE	20	5	50	TRUE	LPJmL default	S
BoBS	ALPHAA_BoBS	0.41	0.19	0.7	TRUE	LPJmL default	S
BoBS	ALBEDO_LEAF_BoBS	0.1617	0.01	0.25	TRUE	LPJmL default	S
BoBS	ALBEDO_STEM_BoBS	0.06	0	0.11	TRUE	LPJmL default	N
BoBS	ALBEDO_LITTER_BoBS	0.004618	0	0.19	TRUE	LPJmL default	N
BoBS	SNOWCANOPYFRAC_BoBS	0.15	0.1	0.9	TRUE	LPJmL default	N
BoBS	LIGHTEXTCOEFF_BoBS	0.4058	0.19	1.5	TRUE	LPJmL default	S
BoBS	TMIN_SL_BoBS	0.2153	0.11	1.35	TRUE	LPJmL default	N
BoBS	TMIN_BASE_BoBS	2.045	-50	50	TRUE	LPJmL default	S
BoBS	TMIN_TAU_BoBS	0.2	0.01	0.9	TRUE	LPJmL default	N
BoBS	TMAX_SL_BoBS	1.74	0.01	3	TRUE	LPJmL default	N
BoBS	TMAX_BASE_BoBS	1000	999	1001	TRUE	LPJmL default	N
BoBS	TMAX_TAU_BoBS	0.2	0.01	0.9	TRUE	LPJmL default	N
BoBS	LIGHT_SL_BoBS	58	32.76	188.94	TRUE	LPJmL default	N
BoBS	LIGHT_BASE_BoBS	59.78	-100	200	TRUE	LPJmL default	S
BoBS	LIGHT_TAU_BoBS	0.2	0.01	0.9	TRUE	LPJmL default	N
BoBS	WATER_SL_BoBS	5.24	1.04	9.84	TRUE	LPJmL default	N
BoBS	WATER_BASE_BoBS	20.96	-100	100	TRUE	LPJmL default	S
BoBS	WATER_TAU_BoBS	0.8	0.01	0.99	TRUE	LPJmL default	N
BoBS	MORT_MAX_BoBS	0.03	0.01	0.06	TRUE	LPJmL default	S
BoBS	K_EST_BoBS	0.12	0.01	0.3	TRUE	LPJmL default	S
BoBS	TWMAX_BoBS	23	0	40	TRUE	LPJmL default	S
BoBS	TSAP_BoBS	20	5	50	TRUE	LPJmL default	S
BoBS	APHEN_MIN_BoBS	10	1	600	TRUE	LPJmL default	N
BoBS	APHEN_MAX_BoBS	105.78	1	600	TRUE	LPJmL default	N
BoNS	ALPHAA_BoNS	0.3393	0.17	0.8	TRUE	LPJmL default	S
BoNS	ALBEDO_LEAF_BoNS	0.1185	0.01	0.25	TRUE	LPJmL default	S
BoNS	ALBEDO_STEM_BoNS	0.04	0.01	0.1	TRUE	LPJmL default	N
BoNS	ALBEDO_LITTER_BoNS	0.01	0	0.15	TRUE	LPJmL default	N
BoNS	SNOWCANOPYFRAC_BoNS	0.18	0.1	0.9	TRUE	LPJmL default	N
BoNS	LIGHTEXTCOEFF_BoNS	0.6559	0.2	2.5	TRUE	LPJmL default	S
BoNS	TMIN_SL_BoNS	0.15	0.1	0.24	TRUE	LPJmL default	N
BoNS	TMIN_BASE_BoNS	-4.165	-50	50	TRUE	LPJmL default	S
BoNS	TMIN_TAU_BoNS	0.2	0.01	0.9	TRUE	LPJmL default	N
BoNS	TMAX_SL_BoNS	0.24	0.01	3	TRUE	LPJmL default	N
BoNS	TMAX_BASE_BoNS	1000	999	1001	TRUE	LPJmL default	N
BoNS	TMAX_TAU_BoNS	0.2	0.01	0.9	TRUE	LPJmL default	N
BoNS	LIGHT_SL_BoNS	95	0.05	200	TRUE	LPJmL default	N
BoNS	LIGHT_BASE_BoNS	130.1	-100	200	TRUE	LPJmL default	S
BoNS	LIGHT_TAU_BoNS	0.2	0.01	0.9	TRUE	LPJmL default	N
