pft	par.names	par.prior	par.lower	par.upper	par.pftspecif	comment	sensitivity
BoNE	ALLOM2_BoNE	40	20	60	TRUE	LPJmL default	S
BoBS	ALLOM2_BoBS	40	20	60	TRUE	LPJmL default	S
BoNS	ALLOM2_BoNS	40	20	60	TRUE	LPJmL default	S
TrBE	ALLOM3_TrBE	0.67	0.4	0.8	TRUE	LPJmL default	S
TrBR	ALLOM3_TrBR	0.67	0.4	0.8	TRUE	LPJmL default	S
TeBE	ALLOM3_TeBE	0.67	0.4	0.8	TRUE	LPJmL default	S
TeBS	ALLOM3_TeBS	0.67	0.4	0.8	TRUE	LPJmL default	S
TeNE	ALLOM3_TeNE	0.67	0.4	0.8	TRUE	LPJmL default	S
BoNE	ALLOM3_BoNE	0.67	0.4	0.8	TRUE	LPJmL default	S
BoBS	ALLOM3_BoBS	0.67	0.4	0.8	TRUE	LPJmL default	S
BoNS	ALLOM3_BoNS	0.67	0.4	0.8	TRUE	LPJmL default	S
TrBE	ALLOM4_TrBE	0.3	0.2	0.4	TRUE	LPJmL default	S
TrBR	ALLOM4_TrBR	0.3	0.2	0.4	TRUE	LPJmL default	S
TeBE	ALLOM4_TeBE	0.3	0.2	0.4	TRUE	LPJmL default	S
TeBS	ALLOM4_TeBS	0.3	0.2	0.4	TRUE	LPJmL default	S
TeNE	ALLOM4_TeNE	0.3	0.2	0.4	TRUE	LPJmL default	S
BoNE	ALLOM4_BoNE	0.3	0.2	0.4	TRUE	LPJmL default	S
BoBS	ALLOM4_BoBS	0.3	0.2	0.4	TRUE	LPJmL default	S
BoNS	ALLOM4_BoNS	0.3	0.2	0.4	TRUE	LPJmL default	S
TrBE	CROWNAREA_MAX_TrBE	15	10	100	TRUE	LPJmL default	S
TrBR	CROWNAREA_MAX_TrBR	12	8	100	TRUE	LPJmL default	S
TeBE	CROWNAREA_MAX_TeBE	15	10	100	TRUE	LPJmL default	S
TeBS	CROWNAREA_MAX_TeBS	15	10	100	TRUE	LPJmL default	S
TeNE	CROWNAREA_MAX_TeNE	15	10	50	TRUE	LPJmL default	S
BoNE	CROWNAREA_MAX_BoNE	15	10	50	TRUE	LPJmL default	S
BoBS	CROWNAREA_MAX_BoBS	15	10	50	TRUE	LPJmL default	S
BoNS	CROWNAREA_MAX_BoNS	15	10	50	TRUE	LPJmL default	S
