pft,par.names,par.prior,par.lower,par.upper,par.pftspecif,check,comment,sensitivity
TrBE,ALPHAA_TrBE,0.6321,0.1,0.9,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,S
TrBE,TPHOTO_LOW_TrBE,25,5,27,TRUE,WAHRWAHR,LPJmL default,S
TrBE,TPHOTO_HIGH_TrBE,30,27.1,50,TRUE,WAHRWAHR,LPJmL default,S
TrBE,ALBEDO_LEAF_TrBE,0.13,0,0.19,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,S
TrBE,ALBEDO_STEM_TrBE,0.1,0.06,0.29,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,N
TrBE,ALBEDO_LITTER_TrBE,0.1,0.06,0.24,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,N
TrBE,SNOWCANOPYFRAC_TrBE,0.4,0.1,0.9,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,N
TrBE,LIGHTEXTCOEFF_TrBE,0.5174,0.1,2,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,S
TrBE,TMIN_SL_TrBE,1.01,0.19,1.93,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,S
TrBE,TMIN_BASE_TrBE,8.3,-50,50,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,S
TrBE,TMIN_TAU_TrBE,0.2,0.01,0.9,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,S
TrBE,TMAX_SL_TrBE,1.86,0.12,2.98,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,N
TrBE,TMAX_BASE_TrBE,1000,999,1001,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,N
TrBE,TMAX_TAU_TrBE,0.2,0.01,0.9,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,N
TrBE,LIGHT_SL_TrBE,77.17,0.05,157,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,S
TrBE,LIGHT_BASE_TrBE,55.53,-100,200,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,S
TrBE,LIGHT_TAU_TrBE,0.52,0.01,0.9,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,S
